Contrato - ID de contrato,Tipo de contrato,Organización - Departamento,Partes afectadas - Nombre del proveedor (L1),Contrato - Fecha de expiración,dias_hasta_vencimiento,Estado del contrato
CW2345722,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,ARMONIA LABORAL S.A.S.,2026-05-11,0.0,Publicado
CW2346422,ALIANZA PARA LA COMPLEMENTACIÓN DE SERVICIOS (AY DX),Laboratorio,LABORATORIO MEDICO DE REFERENCIA SA,2026-05-11,0.0,Publicado
CW2344546,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,REHABILITACION Y GESTION DEL REINTE,2026-05-11,0.0,Publicado
CW2365411,ACUERDO DE CONFIDENCIALIDAD ,ARL Operaciones, ,2026-05-11,0.0,Publicado
CW2346265,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,CARLOS ALFONSO CELIS TRUJILLO,2026-05-11,0.0,Publicado
CW2365411,ACUERDO DE CONFIDENCIALIDAD ,EPS, ,2026-05-11,0.0,Publicado
CW2365409,"TÉRMINOS Y CONDICIONES GRUPO SURA, FUNDACIÓN Y UC",EPS,UGISO S.A.S.,2026-05-11,0.0,Publicado
CW2365409,"TÉRMINOS Y CONDICIONES GRUPO SURA, FUNDACIÓN Y UC",ARL Operaciones,UGISO S.A.S.,2026-05-11,0.0,Publicado
CW2365411,ACUERDO DE CONFIDENCIALIDAD ,ARL Operaciones, ,2026-05-11,0.0,Publicado
CW2345722,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,ARMONIA LABORAL S.A.S.,2026-05-11,0.0,Publicado
CW2365409,"TÉRMINOS Y CONDICIONES GRUPO SURA, FUNDACIÓN Y UC",ARL Operaciones,UGISO S.A.S.,2026-05-11,0.0,Publicado
CW2365409,"TÉRMINOS Y CONDICIONES GRUPO SURA, FUNDACIÓN Y UC",EPS,UGISO S.A.S.,2026-05-11,0.0,Publicado
CW2365411,ACUERDO DE CONFIDENCIALIDAD ,EPS, ,2026-05-11,0.0,Publicado
CW2344546,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,REHABILITACION Y GESTION DEL REINTE,2026-05-11,0.0,Publicado
CW2346650,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,PROMOTORA MEDICA Y ODONTOLOGICA DE,2026-05-11,0.0,Publicado
CW2260971,ALIANZA COMERCIAL (TALENTO HUMANO),Talento Humano,COMO ME PENSIONO SAS,2026-05-12,1.0,Publicado
CW2260971,ALIANZA COMERCIAL (TALENTO HUMANO),Talento Humano,COMO ME PENSIONO SAS,2026-05-12,1.0,Publicado
CW2260971,ALIANZA COMERCIAL (TALENTO HUMANO),Talento Humano,COMO ME PENSIONO SAS,2026-05-12,1.0,Publicado
CW2344490,ALIANZA COMERCIAL (TALENTO HUMANO),Talento Humano,OFICINA INTERNACIONAL DEL TRABAJO OIT,2026-05-12,1.0,Publicado
CW2344490,ALIANZA COMERCIAL (TALENTO HUMANO),Talento Humano,OFICINA INTERNACIONAL DEL TRABAJO OIT,2026-05-12,1.0,Publicado
CW2260893,CONTRATO DE PRESTACIÓN DE SERVICIOS (EPS SURA),EPS,Diana Carolina Giraldo Santa,2026-05-12,1.0,Publicado
CW2344490,ALIANZA COMERCIAL (TALENTO HUMANO),Talento Humano,OFICINA INTERNACIONAL DEL TRABAJO OIT,2026-05-12,1.0,Publicado
CW2260971,ALIANZA COMERCIAL (TALENTO HUMANO),Talento Humano,COMO ME PENSIONO SAS,2026-05-12,1.0,Publicado
CW2260971,ALIANZA COMERCIAL (TALENTO HUMANO),Talento Humano,COMO ME PENSIONO SAS,2026-05-12,1.0,Publicado
CW2344490,ALIANZA COMERCIAL (TALENTO HUMANO),Talento Humano,OFICINA INTERNACIONAL DEL TRABAJO OIT,2026-05-12,1.0,Publicado
CW2349742,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Vaxthera,CELSIUS LTDA,2026-05-12,1.0,Publicado
CW2344490,ALIANZA COMERCIAL (TALENTO HUMANO),Talento Humano,OFICINA INTERNACIONAL DEL TRABAJO OIT,2026-05-12,1.0,Publicado
